주문일자,지역,채널,카테고리,수량,단가,할인율,매출
2024-09-29,부산,온라인,의류,3,196813,0.21,466447.0
2024-09-06,인천,온라인,가전,2,180440,0.26,267051.0
2024-12-03,대전,오프라인,가전,5,163071,0.19,660438.0
2024-09-29,대구,온라인,가전,5,5186,0.07,24115.0
2024-05-14,서울,온라인,뷰티,1,122481,0.16,102884.0
2024-12-20,대구,모바일앱,뷰티,6,49642,0.23,229346.0
2024-05-30,서울,온라인,가전,3,57048,0.28,123224.0
2024-04-29,대전,온라인,가전,2,45934,0.05,87275.0
2024-11-27,부산,온라인,도서,4,93901,0.04,360580.0
2024-05-15,인천,온라인,의류,1,29157,0.12,205264.0
2024-01-28,서울,오프라인,식품,11,108699,0.04,1147861.0
2024-06-20,부산,온라인,도서,11,37389,0.29,292008.0
2024-10-18,광주,온라인,식품,5,102589,0.13,446262.0
2024-03-10,대구,모바일앱,가전,10,127052,0.16,1067237.0
2024-06-18,부산,모바일앱,식품,6,40036,0.07,223401.0
2024-02-17,대전,오프라인,뷰티,11,25025,0.13,1915912.0
2024-09-08,광주,모바일앱,도서,2,162220,0.3,227108.0
2024-06-23,서울,모바일앱,가전,4,149013,0.15,506644.0
2024-04-30,부산,온라인,의류,9,55983,0.0,503847.0
2024-03-24,부산,오프라인,뷰티,3,177969,0.07,496534.0
2024-07-25,대구,오프라인,뷰티,10,48126,0.29,341695.0
2024-09-02,서울,온라인,도서,5,185684,0.3,649894.0
2024-12-10,서울,온라인,가전,5,27090,0.06,127323.0
2024-06-08,대전,온라인,식품,5,133734,0.18,548309.0
2024-02-28,대전,오프라인,식품,9,8737,0.02,77060.0
2024-10-31,광주,오프라인,가전,1,43492,0.17,36098.0
2024-08-18,대전,오프라인,가전,9,83916,0.04,725034.0
2024-09-13,인천,온라인,식품,9,21632,0.25,146016.0
2024-02-05,인천,온라인,의류,10,94109,0.28,677585.0
2024-04-24,인천,온라인,식품,11,50244,0.05,525050.0
2024-10-08,부산,오프라인,의류,9,24295,0.14,188043.0
2024-10-31,부산,모바일앱,식품,6,192581,0.03,1120821.0
2024-06-08,서울,모바일앱,가전,6,196456,0.1,1060862.0
2024-10-21,대구,모바일앱,뷰티,5,192657,0.02,944019.0
2024-11-04,서울,모바일앱,의류,10,35049,0.08,322451.0
2024-05-21,서울,모바일앱,식품,5,79474,0.3,278159.0
2024-11-24,대구,온라인,뷰티,7,68846,0.01,477103.0
2024-04-15,부산,온라인,뷰티,2,68529,0.26,101423.0
2024-03-28,서울,온라인,뷰티,4,86237,0.02,338049.0
2024-09-06,광주,온라인,가전,3,104452,0.16,263219.0
2024-08-21,광주,온라인,도서,5,99602,0.14,428289.0
2024-02-21,서울,온라인,뷰티,6,61879,0.28,267317.0
2024-10-31,서울,모바일앱,뷰티,8,196066,0.06,1474416.0
2024-03-14,서울,온라인,식품,5,196034,0.05,931162.0
2024-10-21,인천,모바일앱,뷰티,2,69588,0.22,108557.0
2024-01-03,광주,오프라인,의류,6,48138,0.22,225286.0
2024-10-18,서울,오프라인,의류,1,108879,0.21,86014.0
2024-10-15,인천,오프라인,의류,10,76982,0.01,762122.0
2024-10-12,서울,온라인,도서,9,197493,0.08,1635242.0
2024-08-31,부산,오프라인,가전,3,88727,0.25,199636.0
2024-06-21,대전,온라인,의류,3,12757,0.18,31382.0
2024-09-15,서울,모바일앱,뷰티,1,29387,0.18,24097.0
2024-04-11,서울,온라인,의류,5,19541,0.09,88912.0
2024-10-12,부산,온라인,식품,1,79650,0.08,73278.0
2024-07-22,대구,오프라인,가전,11,66718,0.28,528407.0
2024-06-16,대전,오프라인,의류,2,172062,0.22,268417.0
2024-07-04,대전,온라인,도서,8,178664,0.04,1372140.0
2024-07-27,서울,오프라인,의류,7,32370,0.28,163145.0
2024-01-14,서울,온라인,뷰티,3,189195,0.17,471096.0
2024-02-21,인천,오프라인,도서,9,118884,0.1,962960.0
2024-03-30,서울,온라인,의류,2,64827,0.12,114096.0
2024-02-11,광주,온라인,가전,10,84294,0.22,657493.0
2024-06-09,인천,온라인,의류,9,91068,0.11,729455.0
2024-09-01,서울,온라인,가전,7,38254,0.17,222256.0
2024-08-27,광주,온라인,도서,10,174146,0.21,1375753.0
2024-06-21,서울,온라인,가전,5,7405,0.06,34804.0
2024-11-08,부산,온라인,뷰티,4,18596,0.28,53556.0
2024-07-25,대구,온라인,식품,2,58301,,103776.0
2024-01-29,부산,오프라인,의류,11,32999,0.13,315800.0
2024-10-06,인천,온라인,가전,5,17056,0.21,67371.0
2024-07-29,인천,오프라인,식품,10,79761,0.18,654040.0
2024-08-20,대전,모바일앱,뷰티,4,78469,0.13,273072.0
2024-07-25,대전,온라인,식품,11,29486,0.19,262720.0
2024-07-21,부산,모바일앱,의류,10,162990,0.27,1189827.0
2024-02-03,서울,온라인,뷰티,4,177101,0.24,538387.0
2024-07-23,인천,온라인,도서,6,145338,0.25,654021.0
2024-10-17,대전,오프라인,가전,9,106825,0.08,884511.0
2024-04-21,서울,오프라인,식품,3,189739,0.13,495219.0
2024-08-08,부산,모바일앱,식품,1,73348,0.17,60879.0
2024-01-12,부산,온라인,식품,4,88268,0.01,349541.0
2024-05-07,서울,오프라인,식품,7,7938,0.23,42786.0
2024-06-08,인천,온라인,의류,2,143021,0.1,257438.0
2024-12-25,부산,온라인,식품,4,23037,0.08,84776.0
2024-03-19,인천,온라인,식품,11,134741,0.08,1363579.0
2024-04-11,광주,모바일앱,의류,1,157573,0.09,143391.0
2024-05-29,광주,온라인,식품,1,47324,0.1,42592.0
2024-12-29,부산,모바일앱,식품,5,124343,0.18,509806.0
2024-11-08,서울,오프라인,의류,1,64198,0.18,52642.0
2024-01-13,인천,오프라인,뷰티,1,82672,0.08,76058.0
2024-03-26,광주,오프라인,의류,3,108316,0.06,305451.0
2024-10-27,부산,모바일앱,의류,2,53647,0.25,80470.0
2024-01-22,광주,온라인,뷰티,9,160348,0.03,1399838.0
2024-11-09,서울,온라인,도서,2,81952,0.15,139318.0
2024-04-12,광주,오프라인,식품,6,95053,0.16,479067.0
2024-12-01,서울,온라인,식품,8,163864,0.17,1088057.0
2024-04-17,서울,온라인,의류,7,49409,0.27,252480.0
2024-06-07,부산,온라인,의류,8,93189,0.19,603865.0
2024-08-30,서울,온라인,가전,4,198725,0.29,564379.0
2024-02-16,서울,온라인,가전,10,82946,0.26,613800.0
2024-07-22,서울,온라인,식품,1,27537,0.06,25885.0
2024-07-03,부산,모바일앱,뷰티,2,60462,0.07,112459.0
2024-10-13,인천,온라인,도서,10,191398,0.1,1722582.0
2024-12-30,서울,모바일앱,뷰티,1,153030,0.12,134666.0
2024-08-31,인천,모바일앱,가전,3,162764,0.17,405282.0
2024-05-29,광주,온라인,의류,2,54445,0.07,101268.0
2024-05-28,서울,오프라인,의류,1,168584,0.07,156783.0
2024-06-01,서울,오프라인,의류,2,81703,0.11,145431.0
2024-10-24,광주,오프라인,의류,7,160008,0.2,896045.0
2024-04-27,광주,온라인,식품,8,176773,0.21,1117205.0
2024-03-02,부산,온라인,가전,1,45593,0.29,32371.0
2024-05-02,광주,온라인,뷰티,11,188006,0.06,1943982.0
2024-01-09,서울,오프라인,뷰티,2,128353,0.12,225901.0
2024-02-08,부산,모바일앱,가전,8,147522,0.29,837925.0
2024-02-02,인천,오프라인,의류,9,152566,0.21,1084744.0
2024-10-09,서울,오프라인,의류,6,37847,0.18,186207.0
2024-09-21,인천,모바일앱,도서,6,150408,0.16,758056.0
2024-09-12,부산,오프라인,뷰티,2,46522,0.02,91183.0
2024-06-18,인천,온라인,의류,3,57955,0.27,126921.0
2024-09-19,부산,모바일앱,도서,10,27728,0.19,224597.0
2024-02-29,부산,온라인,뷰티,4,40318,0.17,133856.0
2024-11-25,서울,온라인,뷰티,1,195890,0.16,164548.0
2024-07-02,서울,오프라인,식품,9,68983,0.12,546345.0
2024-12-09,인천,모바일앱,뷰티,8,80467,0.08,592237.0
2024-02-25,서울,온라인,의류,1,98569,0.23,75898.0
2024-07-01,서울,온라인,가전,1,144023,0.15,122420.0
2024-09-11,서울,온라인,도서,2,116887,0.01,231436.0
2024-06-30,서울,온라인,뷰티,1,109548,0.12,96402.0
2024-06-12,광주,온라인,식품,7,168205,0.28,847753.0
2024-03-01,부산,오프라인,의류,2,101708,0.11,181040.0
2024-05-19,대전,모바일앱,식품,7,154961,0.12,954560.0
2024-03-28,서울,온라인,가전,2,182624,0.19,295851.0
2024-04-20,인천,온라인,뷰티,11,136849,0.24,1144058.0
2024-09-07,부산,온라인,가전,8,11887,0.2,76077.0
2024-08-18,부산,온라인,의류,5,56380,0.26,208606.0
2024-08-10,광주,오프라인,가전,5,125460,0.03,608481.0
2024-05-12,대전,오프라인,도서,1,98381,0.28,70834.0
2024-12-17,광주,오프라인,뷰티,1,60529,0.27,44186.0
2024-02-02,서울,온라인,도서,6,70409,0.16,354861.0
2024-05-05,서울,오프라인,도서,1,20280,0.19,16427.0
2024-02-13,인천,온라인,뷰티,8,50810,0.06,382091.0
2024-05-04,서울,온라인,뷰티,5,157641,0.13,685738.0
2024-12-18,인천,모바일앱,뷰티,2,6997,0.06,13154.0
2024-05-14,대구,오프라인,식품,6,168182,0.01,999001.0
2024-11-28,대구,모바일앱,의류,7,71195,0.29,353839.0
2024-06-30,광주,모바일앱,뷰티,9,162536,,1345798.0
2024-09-13,인천,오프라인,식품,3,54942,0.18,135157.0
2024-06-16,서울,모바일앱,도서,7,166611,0.09,1061312.0
2024-04-07,서울,온라인,가전,10,116520,0.11,1037028.0
2024-10-06,대구,온라인,뷰티,3,171032,0.12,451524.0
2024-12-20,부산,온라인,도서,10,17148,0.1,154332.0
2024-04-06,서울,온라인,도서,8,160497,0.19,1040021.0
2024-10-12,부산,온라인,뷰티,5,57751,0.29,205016.0
2024-04-05,인천,온라인,식품,10,74974,0.13,652274.0
2024-09-19,광주,오프라인,의류,11,13730,0.29,107231.0
2024-10-15,대구,오프라인,뷰티,3,191041,0.2,458498.0
2024-06-13,부산,오프라인,가전,11,130076,0.18,1173286.0
2024-09-26,서울,온라인,뷰티,1,196279,0.07,182539.0
2024-04-09,부산,오프라인,식품,2,115796,0.02,226960.0
2024-01-30,서울,온라인,의류,1,35846,0.26,26526.0
2024-02-05,대구,온라인,의류,5,70808,0.17,293853.0
2024-06-12,인천,온라인,도서,11,90778,0.12,878731.0
2024-11-26,서울,온라인,뷰티,7,33730,0.24,179444.0
2024-02-16,서울,온라인,식품,7,186643,,1188916.0
2024-06-15,서울,모바일앱,가전,1,191794,0.24,145763.0
2024-09-14,광주,오프라인,의류,6,114881,0.1,620357.0
2024-03-15,대구,오프라인,도서,5,118956,0.28,428242.0
2024-09-21,서울,온라인,도서,6,142180,0.08,784834.0
2024-04-21,광주,모바일앱,도서,3,137427,0.04,395790.0
2024-10-22,부산,오프라인,식품,3,17220,0.21,40811.0
2024-07-30,부산,온라인,뷰티,11,108613,0.05,1135006.0
2024-07-19,대전,오프라인,가전,7,156538,0.28,788952.0
2024-03-05,서울,온라인,가전,5,162273,0.2,649092.0
2024-06-18,서울,온라인,가전,1,121228,0.07,112742.0
2024-11-09,대구,온라인,뷰티,9,179794,0.06,1521057.0
2024-01-08,서울,오프라인,가전,6,119309,0.28,515415.0
2024-10-04,인천,온라인,도서,5,79628,0.18,326475.0
2024-06-29,서울,온라인,뷰티,8,91318,0.27,533297.0
2024-09-20,서울,온라인,도서,2,139554,0.03,270735.0
2024-08-30,서울,모바일앱,뷰티,6,177863,0.28,768368.0
2024-06-07,부산,온라인,가전,10,49828,0.16,418555.0
2024-04-22,서울,온라인,의류,6,62231,0.2,298709.0
2024-08-17,서울,온라인,의류,1,132111,0.11,117579.0
2024-02-21,광주,모바일앱,도서,3,153896,0.02,452454.0
2024-08-01,서울,오프라인,도서,1,82835,0.29,58813.0
2024-02-04,부산,모바일앱,의류,6,130419,0.3,547760.0
2024-08-25,서울,온라인,식품,5,6322,0.11,28133.0
2024-08-18,부산,온라인,가전,2,61890,0.28,89122.0
2024-01-31,서울,오프라인,의류,8,191327,0.05,1454085.0
2024-10-04,대구,온라인,식품,2,117416,0.05,223090.0
2024-06-01,서울,모바일앱,의류,4,174346,0.02,683436.0
2024-10-15,광주,모바일앱,도서,11,47441,0.12,459229.0
2024-01-16,대전,온라인,의류,1,61713,0.02,60479.0
2024-03-06,서울,모바일앱,의류,3,195111,0.12,515093.0
2024-06-29,서울,오프라인,가전,4,199562,0.04,766318.0
2024-03-09,서울,온라인,도서,6,175984,0.22,823605.0
2024-04-30,대구,온라인,의류,3,66839,0.25,150388.0
2024-08-29,서울,온라인,가전,11,161283,0.21,1401549.0
2024-02-22,광주,모바일앱,식품,1,94474,0.06,88806.0
2024-09-05,인천,온라인,도서,11,169566,,1436224.0
2024-02-07,광주,온라인,뷰티,6,170995,0.07,954152.0
2024-03-05,부산,오프라인,의류,1,89798,0.23,69144.0
2024-08-03,대전,온라인,뷰티,2,64396,0.17,106897.0
2024-10-17,서울,온라인,가전,2,195096,0.11,347271.0
2024-03-03,부산,오프라인,식품,4,92855,0.03,360277.0
2024-04-19,서울,온라인,뷰티,4,89175,0.25,267525.0
2024-12-04,대전,온라인,가전,8,134789,0.28,776385.0
2024-12-28,대구,온라인,도서,4,187650,0.2,600480.0
2024-07-31,광주,온라인,식품,8,30441,0.29,172905.0
2024-06-12,서울,온라인,식품,4,196971,0.28,567276.0
2024-05-06,대전,오프라인,의류,3,87358,0.06,246350.0
2024-08-12,부산,모바일앱,식품,4,9990,0.22,31169.0
2024-08-04,부산,온라인,뷰티,4,65334,0.1,235202.0
2024-04-17,대전,모바일앱,뷰티,10,95186,0.15,809081.0
2024-01-09,부산,오프라인,의류,3,136970,0.05,390364.0
2024-02-25,부산,오프라인,의류,4,115441,0.29,327852.0
2024-12-16,대구,오프라인,가전,11,31514,0.22,270390.0
2024-06-02,서울,오프라인,식품,8,100205,0.08,737509.0
2024-06-25,서울,모바일앱,가전,3,50382,0.11,134520.0
2024-06-19,서울,온라인,뷰티,10,57561,0.13,500781.0
2024-10-13,서울,오프라인,식품,3,143718,0.22,336300.0
2024-01-24,광주,온라인,식품,2,161640,0.28,232762.0
2024-01-31,대구,온라인,뷰티,5,35463,0.1,159584.0
2024-04-10,부산,오프라인,도서,8,122462,0.14,842539.0
2024-06-27,부산,온라인,도서,3,87293,0.18,214741.0
2024-09-02,부산,온라인,가전,9,70649,0.12,559540.0
2024-06-28,대구,온라인,의류,2,144011,0.15,244819.0
2024-06-10,대전,온라인,의류,9,53521,0.03,467238.0
2024-12-09,대전,오프라인,식품,2,154266,0.05,293105.0
2024-02-28,부산,오프라인,도서,6,83146,0.12,439011.0
2024-07-28,서울,온라인,뷰티,8,23501,0.27,137246.0
2024-07-17,부산,온라인,식품,3,159488,0.1,430618.0
2024-06-22,대구,온라인,식품,7,171139,0.07,1114115.0
2024-10-22,부산,온라인,식품,8,114798,0.22,716340.0
2024-04-07,인천,오프라인,뷰티,8,146174,0.28,841962.0
2024-12-15,대구,오프라인,가전,5,33773,0.14,145224.0
2024-05-01,서울,온라인,뷰티,9,71162,0.0,640458.0
2024-07-18,서울,온라인,도서,9,73230,0.21,520665.0
2024-07-09,부산,모바일앱,의류,4,153941,0.12,541872.0
2024-11-07,서울,오프라인,의류,9,73647,0.2,530258.0
2024-06-09,서울,온라인,뷰티,11,147018,0.08,1487822.0
2024-04-14,인천,온라인,도서,9,64834,0.0,583506.0
2024-01-08,부산,온라인,식품,9,122173,0.1,989601.0
2024-05-13,서울,모바일앱,가전,9,45912,0.21,326434.0
2024-10-29,대구,온라인,도서,9,113903,0.12,902112.0
2024-01-04,인천,온라인,가전,4,20759,0.07,77223.0
2024-11-23,서울,모바일앱,가전,8,148267,0.14,1020077.0
2024-07-17,광주,오프라인,뷰티,3,10674,0.23,24657.0
2024-02-21,대전,온라인,의류,4,199855,0.04,767443.0
2024-04-20,대구,온라인,도서,11,168598,0.21,1465117.0
2024-07-21,인천,온라인,식품,4,117817,0.2,377014.0
2024-04-25,서울,오프라인,가전,10,182367,0.11,1623066.0
2024-02-09,대전,온라인,가전,5,162699,0.29,577581.0
2024-08-31,부산,모바일앱,식품,3,32841,0.27,71922.0
2024-09-03,대전,모바일앱,가전,2,150133,0.09,273242.0
2024-02-13,대구,오프라인,의류,7,78573,0.01,544511.0
2024-04-12,서울,오프라인,식품,5,171882,0.09,6256504.0
2024-03-30,서울,온라인,의류,6,173442,0.06,978213.0
2024-08-29,인천,온라인,의류,1,191132,0.16,160551.0
2024-09-24,대구,오프라인,식품,3,92941,0.28,200753.0
2024-09-23,서울,온라인,의류,1,42651,0.26,31562.0
2024-12-09,인천,온라인,가전,4,29389,0.09,106976.0
2024-10-08,광주,온라인,식품,11,37264,0.13,356616.0
2024-04-27,부산,온라인,뷰티,2,198401,0.01,392834.0
2024-02-09,부산,온라인,뷰티,8,119338,,801951.0
2024-08-12,서울,오프라인,의류,1,73601,0.02,72129.0
2024-12-01,인천,모바일앱,뷰티,7,92612,0.28,466764.0
2024-12-22,서울,오프라인,의류,11,38712,0.26,315116.0
2024-03-25,광주,모바일앱,가전,4,116290,0.06,437250.0
2024-03-27,부산,온라인,뷰티,3,88005,0.21,208572.0
2024-01-14,대구,모바일앱,의류,7,160618,0.17,933191.0
2024-02-21,서울,오프라인,도서,4,9125,0.24,27740.0
2024-07-22,서울,온라인,도서,10,186684,0.14,1605482.0
2024-07-19,인천,모바일앱,식품,10,16828,0.06,158183.0
2024-05-15,부산,온라인,도서,8,86396,0.19,559846.0
2024-04-23,부산,온라인,의류,8,71422,0.02,559948.0
2024-10-30,대전,온라인,식품,7,144996,0.18,832277.0
2024-06-17,대전,온라인,식품,9,133351,0.06,1128149.0
2024-10-22,광주,온라인,도서,6,43375,,205598.0
2024-12-18,서울,오프라인,식품,11,100691,0.25,830701.0
2024-04-26,대구,모바일앱,가전,4,109237,,423840.0
2024-03-15,광주,온라인,뷰티,1,95456,0.12,84001.0
2024-12-14,부산,오프라인,식품,8,9251,0.22,57726.0
2024-08-20,서울,온라인,도서,8,39730,0.05,301948.0
2024-04-16,광주,모바일앱,도서,11,103231,0.17,942499.0
2024-08-15,부산,온라인,뷰티,5,55790,0.2,223160.0
2024-07-07,대구,온라인,도서,5,111340,0.11,495463.0
2024-11-27,대전,오프라인,도서,7,36915,0.25,193804.0
2024-04-03,대구,오프라인,뷰티,5,148411,0.15,630747.0
2024-12-28,부산,오프라인,뷰티,9,41747,0.19,304336.0
2024-12-08,부산,오프라인,가전,5,131649,0.04,631915.0
2024-03-07,부산,오프라인,도서,9,168140,0.01,1498127.0
2024-03-01,서울,온라인,가전,5,74887,0.02,366946.0
2024-07-14,인천,온라인,뷰티,3,32198,0.27,70514.0
2024-01-17,광주,온라인,가전,11,6117,,49792.0
2024-04-19,서울,온라인,식품,6,75308,0.24,343404.0
2024-06-08,서울,온라인,가전,8,27519,0.06,206943.0
2024-12-20,광주,온라인,도서,7,176959,0.16,1040519.0
2024-12-29,서울,온라인,가전,4,194746,0.24,592028.0
2024-02-25,부산,오프라인,가전,11,196222,0.2,1726754.0
2024-11-22,부산,온라인,의류,5,184854,0.03,896542.0
2024-02-03,인천,오프라인,뷰티,11,119409,0.27,958854.0
2024-09-30,서울,오프라인,의류,5,68393,0.05,324867.0
2024-11-05,인천,온라인,의류,1,92077,0.05,87473.0
2024-11-22,부산,온라인,도서,1,55476,0.27,40497.0
2024-03-22,대구,오프라인,의류,11,168847,0.15,1578719.0
2024-11-23,서울,오프라인,식품,6,90101,0.11,481139.0
2024-02-12,부산,온라인,의류,5,80099,0.17,332411.0
2024-07-08,부산,온라인,가전,9,139538,0.29,891648.0
2024-06-20,서울,오프라인,식품,7,77889,0.04,523414.0
2024-04-25,서울,오프라인,도서,8,74581,0.23,459419.0
2024-01-09,서울,온라인,식품,8,49326,0.1,355147.0
2024-10-09,서울,온라인,가전,3,18122,0.04,52191.0
2024-05-02,서울,모바일앱,가전,1,12405,0.13,10792.0
2024-08-30,대전,온라인,뷰티,9,83545,0.16,631600.0
2024-05-30,부산,모바일앱,식품,1,199078,0.06,187133.0
2024-05-16,광주,온라인,가전,8,55814,0.12,392931.0
2024-11-20,대전,오프라인,도서,2,130008,0.19,210613.0
2024-02-04,서울,온라인,의류,3,68361,0.17,170219.0
2024-09-26,인천,온라인,의류,8,64027,0.22,399528.0
2024-09-30,광주,모바일앱,뷰티,7,36776,0.25,193074.0
2024-05-19,대구,온라인,식품,9,114867,0.12,909747.0
2024-04-06,부산,모바일앱,의류,7,133473,0.13,812851.0
2024-01-02,부산,온라인,도서,1,73289,0.15,62296.0
2024-12-08,서울,모바일앱,도서,10,107693,0.17,893852.0
2024-12-12,부산,모바일앱,식품,3,97850,0.03,284744.0
2024-03-29,대전,오프라인,도서,2,57818,0.09,105229.0
2024-01-12,대전,온라인,도서,10,139885,0.05,1328908.0
2024-02-14,서울,오프라인,가전,3,113003,0.12,298328.0
2024-01-25,인천,오프라인,가전,6,17841,0.29,76003.0
2024-10-31,서울,모바일앱,도서,6,101078,0.17,503368.0
2024-11-22,대전,온라인,가전,9,80929,0.13,633674.0
2024-02-26,서울,온라인,뷰티,1,160215,0.17,132978.0
2024-09-30,대전,온라인,가전,2,64791,0.2,103666.0
2024-03-06,광주,오프라인,뷰티,5,191416,0.13,832660.0
2024-05-14,서울,모바일앱,도서,6,124925,0.13,652108.0
2024-08-07,서울,온라인,의류,9,30480,0.21,216713.0
2024-09-20,광주,오프라인,식품,7,83657,0.02,573887.0
2024-11-16,서울,모바일앱,식품,2,177363,0.16,297970.0
2024-01-17,부산,온라인,도서,11,54644,0.16,504911.0
2024-03-12,대전,온라인,도서,6,142435,0.23,658050.0
2024-04-12,대구,오프라인,식품,11,157754,0.29,1232059.0
2024-04-23,부산,오프라인,의류,11,140047,0.24,1170793.0
2024-12-31,부산,온라인,뷰티,1,22623,0.15,19230.0
2024-10-11,서울,모바일앱,식품,6,77988,0.05,444532.0
2024-04-27,대전,오프라인,도서,5,72901,0.18,298894.0
2024-12-21,서울,모바일앱,가전,6,72062,0.25,2594232.0
2024-07-01,서울,모바일앱,뷰티,4,176404,0.28,508044.0
2024-07-02,서울,모바일앱,가전,7,6099,0.25,32020.0
2024-06-07,대전,오프라인,식품,6,110108,0.06,621009.0
2024-02-22,서울,온라인,의류,3,196529,0.21,465774.0
2024-12-07,광주,오프라인,식품,4,175723,0.26,520140.0
2024-01-06,인천,온라인,가전,2,123268,0.2,197229.0
2024-03-04,광주,오프라인,도서,10,199598,0.21,1576824.0
2024-03-25,대전,온라인,가전,8,83454,0.15,567487.0
2024-04-12,광주,오프라인,뷰티,5,124214,0.19,503067.0
2024-02-18,대전,온라인,가전,5,111034,0.09,505205.0
2024-01-07,서울,온라인,식품,1,14228,0.03,13801.0
2024-09-05,인천,온라인,뷰티,4,12902,,38706.0
2024-12-20,부산,오프라인,가전,11,179890,0.28,1424729.0
2024-02-14,부산,오프라인,가전,1,38861,0.26,28757.0
2024-04-18,광주,온라인,도서,2,74191,0.1,133544.0
2024-07-04,대전,모바일앱,가전,10,126555,0.03,1227584.0
2024-12-05,인천,모바일앱,뷰티,6,117230,0.08,647110.0
2024-09-11,부산,온라인,의류,1,105281,0.25,78961.0
2024-10-07,부산,오프라인,뷰티,6,195939,0.2,940507.0
2024-07-31,부산,온라인,식품,9,158479,0.29,1012681.0
2024-06-01,부산,온라인,가전,4,188646,0.1,679126.0
2024-03-14,부산,오프라인,뷰티,5,133454,,4430672.0
2024-11-12,서울,온라인,도서,7,195928,0.24,1042337.0
2024-10-21,서울,모바일앱,뷰티,7,122279,0.07,796036.0
2024-01-10,인천,모바일앱,식품,10,110636,0.29,785516.0
2024-09-18,부산,모바일앱,의류,3,163976,0.18,403381.0
2024-01-31,대전,오프라인,의류,4,174417,0.0,697668.0
2024-09-27,대구,오프라인,의류,2,18311,0.01,36256.0
2024-10-29,서울,모바일앱,식품,8,182563,0.26,1080773.0
